"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2015","M","2019-10",114.5905,
"AUT","INDPROD","TOT","IDX2015","M","2019-11",113.6905,
"AUT","INDPROD","TOT","IDX2015","M","2019-12",113.4905,
"AUT","INDPROD","TOT","IDX2015","M","2020-01",117.5902,
"AUT","INDPROD","TOT","IDX2015","M","2020-02",115.4904,
"AUT","INDPROD","TOT","IDX2015","M","2020-03",106.9911,
"AUT","INDPROD","TOT","IDX2015","M","2020-04",91.09241,
"AUT","INDPROD","TOT","IDX2015","M","2020-05",98.89176,
"AUT","INDPROD","TOT","IDX2015","M","2020-06",104.9912,
"AUT","INDPROD","TOT","IDX2015","M","2020-07",110.7908,
"AUT","INDPROD","TOT","IDX2015","M","2020-08",110.6908,
"AUT","INDPROD","TOT","IDX2015","M","2020-09",113.0906,
"AUT","INDPROD","TOT","IDX2015","M","2020-10",114.5905,
"AUT","INDPROD","TOT","IDX2015","M","2020-11",114.1905,
"AUT","INDPROD","TOT","IDX2015","M","2020-12",110.2908,
"AUT","INDPROD","TOT","IDX2015","M","2021-01",113.2906,
"AUT","INDPROD","TOT","IDX2015","M","2021-02",117.2902,
"AUT","INDPROD","TOT","IDX2015","M","2021-03",121.3899,
"AUT","INDPROD","TOT","IDX2015","M","2021-04",121.6899,
"AUT","INDPROD","TOT","IDX2015","M","2021-05",119.59,
"AUT","INDPROD","TOT","IDX2015","M","2021-06",122.0898,
"BEL","INDPROD","TOT","IDX2015","M","2019-10",112.0907,
"BEL","INDPROD","TOT","IDX2015","M","2019-11",114.5905,
"BEL","INDPROD","TOT","IDX2015","M","2019-12",118.1901,
"BEL","INDPROD","TOT","IDX2015","M","2020-01",112.5906,
"BEL","INDPROD","TOT","IDX2015","M","2020-02",114.4905,
"BEL","INDPROD","TOT","IDX2015","M","2020-03",107.791,
"BEL","INDPROD","TOT","IDX2015","M","2020-04",95.09208,
"BEL","INDPROD","TOT","IDX2015","M","2020-05",107.791,
"BEL","INDPROD","TOT","IDX2015","M","2020-06",104.0913,
"BEL","INDPROD","TOT","IDX2015","M","2020-07",108.9909,
"BEL","INDPROD","TOT","IDX2015","M","2020-08",108.7909,
"BEL","INDPROD","TOT","IDX2015","M","2020-09",110.2908,
"BEL","INDPROD","TOT","IDX2015","M","2020-10",117.6902,
"BEL","INDPROD","TOT","IDX2015","M","2020-11",115.0904,
"BEL","INDPROD","TOT","IDX2015","M","2020-12",113.5905,
"BEL","INDPROD","TOT","IDX2015","M","2021-01",120.59,
"BEL","INDPROD","TOT","IDX2015","M","2021-02",118.5901,
"BEL","INDPROD","TOT","IDX2015","M","2021-03",123.2897,
"BEL","INDPROD","TOT","IDX2015","M","2021-04",128.8893,
"BEL","INDPROD","TOT","IDX2015","M","2021-05",129.1892,
"BEL","INDPROD","TOT","IDX2015","M","2021-06",139.9883,
"CAN","INDPROD","TOT","IDX2015","M","2019-10",108.9264,
"CAN","INDPROD","TOT","IDX2015","M","2019-11",108.4572,
"CAN","INDPROD","TOT","IDX2015","M","2019-12",108.0364,
"CAN","INDPROD","TOT","IDX2015","M","2020-01",107.9227,
"CAN","INDPROD","TOT","IDX2015","M","2020-02",108.8512,
"CAN","INDPROD","TOT","IDX2015","M","2020-03",102.8064,
"CAN","INDPROD","TOT","IDX2015","M","2020-04",88.98791,
"CAN","INDPROD","TOT","IDX2015","M","2020-05",92.84623,
